run,sample_id,image,question,ground_truth,prediction,task,difficulty,split,ood_type,error_type
base-fewshot,ood_palette_000001_q01,images/ood_palette/ood_palette_000001.png,Which object is between the pink triangle and the purple rectangle?,cyan rectangle,green rectangle,between,3,ood_palette,palette,object_confusion
base-fewshot,ood_palette_000002_q01,images/ood_palette/ood_palette_000002.png,Which object is between the pink circle and the cyan triangle?,pink triangle,orange square,between,3,ood_palette,palette,other
base-fewshot,ood_shape_000012_q02,images/ood_shape/ood_shape_000012.png,Which object is between the yellow diamond and the green diamond?,yellow star,star,between,3,ood_shape,shape,object_confusion
base-fewshot,test_000034_q01,images/test/test_000034.png,"Which object is closer to the center of the image, the blue triangle or the green circle?",green circle,blue triangle,center_proximity,2,test,ID,distance_reasoning_error
base-fewshot,ood_background_000001_q04,images/ood_background/ood_background_000001.png,"Which object is closer to the center of the image, the green rectangle or the green circle?",green rectangle,green circle,center_proximity,2,ood_background,background,distance_reasoning_error
base-fewshot,ood_count_000006_q03,images/ood_count/ood_count_000006.png,"Which object is closer to the center of the image, the blue rectangle or the yellow triangle?",yellow triangle,blue rectangle,center_proximity,2,ood_count,count,distance_reasoning_error
base-fewshot,ood_occlusion_000008_q02,images/ood_occlusion/ood_occlusion_000008.png,"Which object is closer to the center of the image, the red rectangle or the blue rectangle?",blue rectangle,red rectangle,center_proximity,2,ood_occlusion,occlusion,distance_reasoning_error
base-fewshot,ood_palette_000003_q01,images/ood_palette/ood_palette_000003.png,"Which object is closer to the center of the image, the purple circle or the purple rectangle?",purple circle,purple rectangle,center_proximity,2,ood_palette,palette,distance_reasoning_error
base-fewshot,ood_shape_000008_q01,images/ood_shape/ood_shape_000008.png,"Which object is closer to the center of the image, the red hexagon or the yellow diamond?",red hexagon,yellow diamond,center_proximity,2,ood_shape,shape,distance_reasoning_error
base-fewshot,test_000002_q03,images/test/test_000002.png,How many objects are above the red triangle?,4,3,counting,2,test,ID,counting_error
base-fewshot,ood_background_000003_q04,images/ood_background/ood_background_000003.png,How many circle objects are in the image?,3,2,counting,1,ood_background,background,counting_error
lora-direct,test_000002_q01,images/test/test_000002.png,Which object is immediately below the yellow triangle?,blue triangle,red triangle,above_below,2,test,ID,spatial_inversion
lora-direct,ood_background_000022_q04,images/ood_background/ood_background_000022.png,Which object is immediately below the green circle?,yellow rectangle,yellow circle,above_below,2,ood_background,background,spatial_inversion
lora-direct,ood_count_000000_q04,images/ood_count/ood_count_000000.png,Which object is immediately below the green rectangle?,green triangle,red triangle,above_below,2,ood_count,count,spatial_inversion
lora-direct,ood_occlusion_000002_q03,images/ood_occlusion/ood_occlusion_000002.png,Which object is immediately above the yellow rectangle?,yellow circle,blue triangle,above_below,2,ood_occlusion,occlusion,spatial_inversion
lora-direct,ood_palette_000000_q01,images/ood_palette/ood_palette_000000.png,Which object is immediately below the purple rectangle?,cyan rectangle,red triangle,above_below,2,ood_palette,palette,spatial_inversion
lora-direct,ood_shape_000000_q04,images/ood_shape/ood_shape_000000.png,Which object is immediately below the blue hexagon?,yellow diamond,green triangle,above_below,2,ood_shape,shape,spatial_inversion
lora-direct,test_000000_q03,images/test/test_000000.png,Which object is between the blue circle and the yellow rectangle?,green triangle,red rectangle,between,3,test,ID,object_confusion
lora-direct,ood_background_000000_q02,images/ood_background/ood_background_000000.png,Which object is between the green rectangle and the yellow rectangle?,red circle,red rectangle,between,3,ood_background,background,object_confusion
lora-direct,ood_count_000002_q04,images/ood_count/ood_count_000002.png,Which object is between the yellow circle and the red circle?,yellow rectangle,green triangle,between,3,ood_count,count,object_confusion
lora-direct,ood_occlusion_000001_q01,images/ood_occlusion/ood_occlusion_000001.png,Which object is between the green triangle and the red rectangle?,blue triangle,red triangle,between,3,ood_occlusion,occlusion,object_confusion
lora-direct,ood_palette_000001_q01,images/ood_palette/ood_palette_000001.png,Which object is between the pink triangle and the purple rectangle?,cyan rectangle,green rectangle,between,3,ood_palette,palette,object_confusion
lora-direct,ood_shape_000012_q02,images/ood_shape/ood_shape_000012.png,Which object is between the yellow diamond and the green diamond?,yellow star,green triangle,between,3,ood_shape,shape,object_confusion
lora-direct,test_000003_q04,images/test/test_000003.png,"Which object is closer to the center of the image, the blue rectangle or the red rectangle?",blue rectangle,red rectangle,center_proximity,2,test,ID,distance_reasoning_error
lora-direct,ood_background_000004_q02,images/ood_background/ood_background_000004.png,"Which object is closer to the center of the image, the green circle or the red rectangle?",green circle,red rectangle,center_proximity,2,ood_background,background,distance_reasoning_error
lora-direct,ood_count_000006_q03,images/ood_count/ood_count_000006.png,"Which object is closer to the center of the image, the blue rectangle or the yellow triangle?",yellow triangle,blue rectangle,center_proximity,2,ood_count,count,distance_reasoning_error
lora-direct,ood_occlusion_000017_q03,images/ood_occlusion/ood_occlusion_000017.png,"Which object is closer to the center of the image, the yellow circle or the blue rectangle?",yellow circle,blue rectangle,center_proximity,2,ood_occlusion,occlusion,distance_reasoning_error
lora-direct,ood_palette_000008_q04,images/ood_palette/ood_palette_000008.png,"Which object is closer to the center of the image, the cyan rectangle or the pink circle?",cyan rectangle,pink circle,center_proximity,2,ood_palette,palette,distance_reasoning_error
lora-direct,ood_shape_000004_q01,images/ood_shape/ood_shape_000004.png,"Which object is closer to the center of the image, the red hexagon or the yellow diamond?",red hexagon,yellow diamond,center_proximity,2,ood_shape,shape,distance_reasoning_error
lora-direct,test_000002_q03,images/test/test_000002.png,How many objects are above the red triangle?,4,2,counting,2,test,ID,counting_error
lora-direct,ood_background_000003_q04,images/ood_background/ood_background_000003.png,How many circle objects are in the image?,3,2,counting,1,ood_background,background,counting_error
lora-direct,ood_count_000000_q02,images/ood_count/ood_count_000000.png,How many circle objects are in the image?,1,2,counting,1,ood_count,count,counting_error
lora-direct,ood_occlusion_000004_q01,images/ood_occlusion/ood_occlusion_000004.png,How many objects are above the red triangle?,0,1,counting,2,ood_occlusion,occlusion,counting_error
lora-direct,ood_palette_000022_q04,images/ood_palette/ood_palette_000022.png,How many rectangle objects are in the image?,1,2,counting,1,ood_palette,palette,counting_error
lora-direct,ood_shape_000000_q01,images/ood_shape/ood_shape_000000.png,How many objects are above the blue hexagon?,1,2,counting,2,ood_shape,shape,counting_error
lora-fewshot,test_000002_q01,images/test/test_000002.png,Which object is immediately below the yellow triangle?,blue triangle,red triangle,above_below,2,test,ID,spatial_inversion
lora-fewshot,ood_background_000022_q04,images/ood_background/ood_background_000022.png,Which object is immediately below the green circle?,yellow rectangle,yellow circle,above_below,2,ood_background,background,spatial_inversion
lora-fewshot,ood_count_000000_q04,images/ood_count/ood_count_000000.png,Which object is immediately below the green rectangle?,green triangle,red circle,above_below,2,ood_count,count,spatial_inversion
lora-fewshot,ood_occlusion_000002_q03,images/ood_occlusion/ood_occlusion_000002.png,Which object is immediately above the yellow rectangle?,yellow circle,blue triangle,above_below,2,ood_occlusion,occlusion,spatial_inversion
lora-fewshot,ood_palette_000000_q01,images/ood_palette/ood_palette_000000.png,Which object is immediately below the purple rectangle?,cyan rectangle,red triangle,above_below,2,ood_palette,palette,spatial_inversion
lora-fewshot,ood_shape_000000_q04,images/ood_shape/ood_shape_000000.png,Which object is immediately below the blue hexagon?,yellow diamond,yellow triangle,above_below,2,ood_shape,shape,spatial_inversion
lora-fewshot,test_000000_q03,images/test/test_000000.png,Which object is between the blue circle and the yellow rectangle?,green triangle,red rectangle,between,3,test,ID,object_confusion
lora-fewshot,ood_background_000014_q04,images/ood_background/ood_background_000014.png,Which object is between the blue triangle and the red rectangle?,yellow circle,red circle,between,3,ood_background,background,object_confusion
lora-fewshot,ood_count_000002_q04,images/ood_count/ood_count_000002.png,Which object is between the yellow circle and the red circle?,yellow rectangle,green triangle,between,3,ood_count,count,object_confusion
lora-fewshot,ood_occlusion_000001_q01,images/ood_occlusion/ood_occlusion_000001.png,Which object is between the green triangle and the red rectangle?,blue triangle,red triangle,between,3,ood_occlusion,occlusion,object_confusion
lora-fewshot,ood_palette_000001_q01,images/ood_palette/ood_palette_000001.png,Which object is between the pink triangle and the purple rectangle?,cyan rectangle,red triangle,between,3,ood_palette,palette,object_confusion
lora-fewshot,ood_shape_000012_q02,images/ood_shape/ood_shape_000012.png,Which object is between the yellow diamond and the green diamond?,yellow star,green triangle,between,3,ood_shape,shape,object_confusion
lora-fewshot,test_000003_q04,images/test/test_000003.png,"Which object is closer to the center of the image, the blue rectangle or the red rectangle?",blue rectangle,red rectangle,center_proximity,2,test,ID,distance_reasoning_error
lora-fewshot,ood_background_000004_q02,images/ood_background/ood_background_000004.png,"Which object is closer to the center of the image, the green circle or the red rectangle?",green circle,red rectangle,center_proximity,2,ood_background,background,distance_reasoning_error
lora-fewshot,ood_count_000006_q03,images/ood_count/ood_count_000006.png,"Which object is closer to the center of the image, the blue rectangle or the yellow triangle?",yellow triangle,blue rectangle,center_proximity,2,ood_count,count,distance_reasoning_error
lora-fewshot,ood_occlusion_000008_q02,images/ood_occlusion/ood_occlusion_000008.png,"Which object is closer to the center of the image, the red rectangle or the blue rectangle?",blue rectangle,red rectangle,center_proximity,2,ood_occlusion,occlusion,distance_reasoning_error
lora-fewshot,ood_palette_000003_q01,images/ood_palette/ood_palette_000003.png,"Which object is closer to the center of the image, the purple circle or the purple rectangle?",purple circle,purple rectangle,center_proximity,2,ood_palette,palette,distance_reasoning_error
lora-fewshot,ood_shape_000009_q01,images/ood_shape/ood_shape_000009.png,"Which object is closer to the center of the image, the green hexagon or the blue star?",green hexagon,blue star,center_proximity,2,ood_shape,shape,distance_reasoning_error
lora-fewshot,test_000002_q03,images/test/test_000002.png,How many objects are above the red triangle?,4,2,counting,2,test,ID,counting_error
lora-fewshot,ood_background_000006_q04,images/ood_background/ood_background_000006.png,How many rectangle objects are in the image?,3,1,counting,1,ood_background,background,counting_error
lora-fewshot,ood_count_000000_q02,images/ood_count/ood_count_000000.png,How many circle objects are in the image?,1,2,counting,1,ood_count,count,counting_error
lora-fewshot,ood_occlusion_000001_q04,images/ood_occlusion/ood_occlusion_000001.png,How many objects are above the blue triangle?,1,2,counting,2,ood_occlusion,occlusion,counting_error
lora-fewshot,ood_palette_000022_q04,images/ood_palette/ood_palette_000022.png,How many rectangle objects are in the image?,1,2,counting,1,ood_palette,palette,counting_error
lora-fewshot,ood_shape_000000_q01,images/ood_shape/ood_shape_000000.png,How many objects are above the blue hexagon?,1,2,counting,2,ood_shape,shape,counting_error
