baseline,candidate,transition,sample_id,image,question,ground_truth,baseline_prediction,candidate_prediction,task,difficulty,split,ood_type
base-direct,base-fewshot,improved,ood_occlusion_000044_q03,images/ood_occlusion/ood_occlusion_000044.png,"Which object is closer to the center of the image, the green triangle or the green circle?",green circle,green triangle,green circle,center_proximity,2,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_palette_000002_q03,images/ood_palette/ood_palette_000002.png,"Which object is closer to the center of the image, the orange rectangle or the pink circle?",orange rectangle,pink circle,orange rectangle,center_proximity,2,ood_palette,palette
base-direct,base-fewshot,improved,ood_shape_000004_q01,images/ood_shape/ood_shape_000004.png,"Which object is closer to the center of the image, the red hexagon or the yellow diamond?",red hexagon,yellow diamond,red hexagon,center_proximity,2,ood_shape,shape
base-direct,base-fewshot,improved,ood_shape_000009_q01,images/ood_shape/ood_shape_000009.png,"Which object is closer to the center of the image, the green hexagon or the blue star?",green hexagon,blue star,green hexagon,center_proximity,2,ood_shape,shape
base-direct,base-fewshot,improved,ood_shape_000017_q01,images/ood_shape/ood_shape_000017.png,"Which object is closer to the center of the image, the blue hexagon or the red hexagon?",red hexagon,blue hexagon,red hexagon,center_proximity,2,ood_shape,shape
base-direct,base-fewshot,improved,test_000065_q02,images/test/test_000065.png,"Which object is closer to the center of the image, the blue triangle or the red rectangle?",red rectangle,blue triangle,red rectangle,center_proximity,2,test,ID
base-direct,base-fewshot,improved,ood_background_000038_q02,images/ood_background/ood_background_000038.png,How many objects are above the blue circle?,3,2,3,counting,2,ood_background,background
base-direct,base-fewshot,improved,ood_count_000027_q03,images/ood_count/ood_count_000027.png,How many objects are left of the green triangle?,2,3,2,counting,2,ood_count,count
base-direct,base-fewshot,improved,ood_count_000038_q04,images/ood_count/ood_count_000038.png,How many objects are above the green circle?,4,3,4,counting,2,ood_count,count
base-direct,base-fewshot,improved,test_000078_q03,images/test/test_000078.png,How many objects are left of the green triangle?,1,2,1,counting,2,test,ID
base-direct,base-fewshot,improved,test_000087_q03,images/test/test_000087.png,How many objects are left of the blue rectangle?,2,1,2,counting,2,test,ID
base-direct,base-fewshot,improved,ood_count_000034_q03,images/ood_count/ood_count_000034.png,Which object is immediately left of the red triangle?,red circle,green circle,red circle,left_right,2,ood_count,count
base-direct,base-fewshot,improved,ood_occlusion_000000_q01,images/ood_occlusion/ood_occlusion_000000.png,Which object is immediately right of the yellow circle?,green triangle,triangle,green triangle,left_right,2,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_occlusion_000014_q03,images/ood_occlusion/ood_occlusion_000014.png,Which object is immediately left of the blue rectangle?,yellow triangle,triangle,yellow triangle,left_right,2,ood_occlusion,occlusion
base-direct,base-fewshot,improved,ood_palette_000004_q01,images/ood_palette/ood_palette_000004.png,Which object is immediately right of the purple triangle?,purple circle,circle,purple circle,left_right,2,ood_palette,palette
base-direct,base-fewshot,improved,ood_palette_000016_q03,images/ood_palette/ood_palette_000016.png,Which object is immediately left of the pink rectangle?,orange circle,orange rectangle,orange circle,left_right,2,ood_palette,palette
base-direct,base-fewshot,improved,ood_palette_000033_q04,images/ood_palette/ood_palette_000033.png,Which object is immediately right of the pink rectangle?,orange triangle,triangle,orange triangle,left_right,2,ood_palette,palette
base-direct,base-fewshot,improved,test_000004_q03,images/test/test_000004.png,Which object is immediately left of the green rectangle?,yellow triangle,triangle,yellow triangle,left_right,2,test,ID
base-direct,base-fewshot,improved,test_000012_q02,images/test/test_000012.png,Which object is immediately left of the blue circle?,green triangle,triangle,green triangle,left_right,2,test,ID
base-direct,base-fewshot,improved,test_000045_q02,images/test/test_000045.png,Which object is immediately right of the blue rectangle?,red circle,triangle,red circle,left_right,2,test,ID
base-direct,base-fewshot,improved,test_000063_q02,images/test/test_000063.png,Which object is immediately right of the blue circle?,green rectangle,triangle,green rectangle,left_right,2,test,ID
base-direct,base-fewshot,improved,ood_background_000001_q01,images/ood_background/ood_background_000001.png,Which object is both right of the green circle and left of the blue triangle?,green rectangle,square,green rectangle,multi_hop,4,ood_background,background
base-direct,base-fewshot,improved,ood_background_000007_q02,images/ood_background/ood_background_000007.png,Which object is both above the blue circle and left of the green rectangle?,yellow circle,triangle,yellow circle,multi_hop,4,ood_background,background
base-direct,base-fewshot,improved,ood_background_000025_q02,images/ood_background/ood_background_000025.png,Which object is both below the green rectangle and left of the blue rectangle?,red triangle,triangle,red triangle,multi_hop,4,ood_background,background
base-direct,base-fewshot,improved,ood_background_000028_q03,images/ood_background/ood_background_000028.png,Which object is both below the yellow rectangle and above the red triangle?,green circle,green square,green circle,multi_hop,4,ood_background,background
base-direct,base-fewshot,improved,ood_count_000005_q01,images/ood_count/ood_count_000005.png,Which object is both left of the red circle and right of the green rectangle?,blue rectangle,triangle,blue rectangle,multi_hop,4,ood_count,count
base-direct,lora-direct,improved,ood_background_000013_q04,images/ood_background/ood_background_000013.png,Which object is immediately below the red triangle?,red circle,circle,red circle,above_below,2,ood_background,background
base-direct,lora-direct,improved,ood_background_000031_q04,images/ood_background/ood_background_000031.png,Which object is immediately below the green triangle?,blue rectangle,blue square,blue rectangle,above_below,2,ood_background,background
base-direct,lora-direct,improved,ood_count_000004_q04,images/ood_count/ood_count_000004.png,Which object is immediately below the red circle?,blue triangle,blue circle,blue triangle,above_below,2,ood_count,count
base-direct,lora-direct,improved,ood_count_000011_q01,images/ood_count/ood_count_000011.png,Which object is immediately above the red rectangle?,blue triangle,triangle,blue triangle,above_below,2,ood_count,count
base-direct,lora-direct,improved,ood_occlusion_000000_q04,images/ood_occlusion/ood_occlusion_000000.png,Which object is immediately below the red circle?,green triangle,triangle,green triangle,above_below,2,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_occlusion_000016_q04,images/ood_occlusion/ood_occlusion_000016.png,Which object is immediately above the yellow triangle?,red circle,yellow circle,red circle,above_below,2,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_occlusion_000023_q02,images/ood_occlusion/ood_occlusion_000023.png,Which object is immediately below the blue circle?,blue triangle,triangle,blue triangle,above_below,2,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_occlusion_000031_q01,images/ood_occlusion/ood_occlusion_000031.png,Which object is immediately below the red triangle?,blue triangle,yellow circle,blue triangle,above_below,2,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_occlusion_000038_q02,images/ood_occlusion/ood_occlusion_000038.png,Which object is immediately below the blue circle?,green triangle,square,green triangle,above_below,2,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_occlusion_000047_q03,images/ood_occlusion/ood_occlusion_000047.png,Which object is immediately below the green rectangle?,blue triangle,triangle,blue triangle,above_below,2,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_palette_000023_q04,images/ood_palette/ood_palette_000023.png,Which object is immediately below the orange rectangle?,orange circle,circle,orange circle,above_below,2,ood_palette,palette
base-direct,lora-direct,improved,ood_palette_000024_q02,images/ood_palette/ood_palette_000024.png,Which object is immediately above the orange triangle?,purple rectangle,circle,purple rectangle,above_below,2,ood_palette,palette
base-direct,lora-direct,improved,test_000032_q02,images/test/test_000032.png,Which object is immediately above the red triangle?,green triangle,circle,green triangle,above_below,2,test,ID
base-direct,lora-direct,improved,test_000043_q04,images/test/test_000043.png,Which object is immediately above the blue rectangle?,red triangle,green rectangle,red triangle,above_below,2,test,ID
base-direct,lora-direct,improved,test_000052_q04,images/test/test_000052.png,Which object is immediately above the green circle?,blue triangle,triangle,blue triangle,above_below,2,test,ID
base-direct,lora-direct,improved,test_000057_q04,images/test/test_000057.png,Which object is immediately below the yellow triangle?,red triangle,square,red triangle,above_below,2,test,ID
base-direct,lora-direct,improved,test_000070_q04,images/test/test_000070.png,Which object is immediately below the blue triangle?,red rectangle,green circle,red rectangle,above_below,2,test,ID
base-direct,lora-direct,improved,test_000093_q04,images/test/test_000093.png,Which object is immediately below the green rectangle?,red circle,triangle,red circle,above_below,2,test,ID
base-direct,lora-direct,improved,test_000099_q01,images/test/test_000099.png,Which object is immediately below the red circle?,blue triangle,square,blue triangle,above_below,2,test,ID
base-direct,lora-direct,improved,ood_occlusion_000019_q01,images/ood_occlusion/ood_occlusion_000019.png,Which object is between the green circle and the yellow triangle?,green triangle,white triangle,green triangle,between,3,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_occlusion_000042_q01,images/ood_occlusion/ood_occlusion_000042.png,Which object is between the yellow rectangle and the green rectangle?,red triangle,triangle,red triangle,between,3,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_occlusion_000046_q01,images/ood_occlusion/ood_occlusion_000046.png,Which object is between the red rectangle and the yellow triangle?,red circle,circle,red circle,between,3,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_palette_000011_q01,images/ood_palette/ood_palette_000011.png,Which object is between the orange rectangle and the pink circle?,purple rectangle,blue circle,purple rectangle,between,3,ood_palette,palette
base-direct,lora-direct,improved,ood_palette_000019_q03,images/ood_palette/ood_palette_000019.png,Which object is between the pink rectangle and the orange circle?,purple rectangle,orange rectangle,purple rectangle,between,3,ood_palette,palette
base-direct,lora-direct,improved,test_000001_q03,images/test/test_000001.png,Which object is between the green triangle and the blue circle?,blue rectangle,square,blue rectangle,between,3,test,ID
base-direct,lora-direct,improved,test_000042_q04,images/test/test_000042.png,Which object is between the yellow rectangle and the green triangle?,green rectangle,square,green rectangle,between,3,test,ID
base-direct,lora-direct,improved,test_000057_q01,images/test/test_000057.png,Which object is between the red circle and the yellow triangle?,red rectangle,square,red rectangle,between,3,test,ID
base-direct,lora-direct,improved,test_000064_q01,images/test/test_000064.png,Which object is between the red circle and the red rectangle?,blue rectangle,blue circle,blue rectangle,between,3,test,ID
base-direct,lora-direct,improved,test_000085_q02,images/test/test_000085.png,Which object is between the green rectangle and the green triangle?,red triangle,square,red triangle,between,3,test,ID
base-direct,lora-direct,improved,ood_background_000001_q04,images/ood_background/ood_background_000001.png,"Which object is closer to the center of the image, the green rectangle or the green circle?",green rectangle,green circle,green rectangle,center_proximity,2,ood_background,background
base-direct,lora-direct,improved,ood_background_000007_q01,images/ood_background/ood_background_000007.png,"Which object is closer to the center of the image, the yellow triangle or the yellow circle?",yellow triangle,yellow circle,yellow triangle,center_proximity,2,ood_background,background
base-direct,lora-direct,improved,ood_background_000038_q04,images/ood_background/ood_background_000038.png,"Which object is closer to the center of the image, the green triangle or the green circle?",green triangle,green circle,green triangle,center_proximity,2,ood_background,background
base-direct,lora-direct,improved,ood_count_000024_q03,images/ood_count/ood_count_000024.png,"Which object is closer to the center of the image, the green triangle or the red circle?",red circle,green triangle,red circle,center_proximity,2,ood_count,count
base-direct,lora-direct,improved,ood_count_000036_q04,images/ood_count/ood_count_000036.png,"Which object is closer to the center of the image, the yellow circle or the yellow triangle?",yellow triangle,yellow circle,yellow triangle,center_proximity,2,ood_count,count
base-direct,lora-direct,improved,ood_count_000049_q02,images/ood_count/ood_count_000049.png,"Which object is closer to the center of the image, the yellow circle or the red triangle?",red triangle,yellow circle,red triangle,center_proximity,2,ood_count,count
base-direct,lora-direct,improved,ood_occlusion_000027_q02,images/ood_occlusion/ood_occlusion_000027.png,"Which object is closer to the center of the image, the blue rectangle or the red rectangle?",red rectangle,blue rectangle,red rectangle,center_proximity,2,ood_occlusion,occlusion
base-direct,lora-direct,improved,ood_palette_000002_q03,images/ood_palette/ood_palette_000002.png,"Which object is closer to the center of the image, the orange rectangle or the pink circle?",orange rectangle,pink circle,orange rectangle,center_proximity,2,ood_palette,palette
base-direct,lora-direct,improved,ood_palette_000003_q01,images/ood_palette/ood_palette_000003.png,"Which object is closer to the center of the image, the purple circle or the purple rectangle?",purple circle,purple rectangle,purple circle,center_proximity,2,ood_palette,palette
base-direct,lora-direct,improved,ood_palette_000026_q04,images/ood_palette/ood_palette_000026.png,"Which object is closer to the center of the image, the orange circle or the orange triangle?",orange triangle,orange circle,orange triangle,center_proximity,2,ood_palette,palette
base-direct,lora-direct,improved,ood_palette_000030_q01,images/ood_palette/ood_palette_000030.png,"Which object is closer to the center of the image, the orange rectangle or the cyan rectangle?",cyan rectangle,orange rectangle,cyan rectangle,center_proximity,2,ood_palette,palette
base-direct,lora-direct,improved,ood_palette_000045_q04,images/ood_palette/ood_palette_000045.png,"Which object is closer to the center of the image, the cyan rectangle or the pink triangle?",pink triangle,cyan rectangle,pink triangle,center_proximity,2,ood_palette,palette
base-direct,lora-direct,improved,ood_palette_000049_q02,images/ood_palette/ood_palette_000049.png,"Which object is closer to the center of the image, the orange triangle or the pink triangle?",pink triangle,orange triangle,pink triangle,center_proximity,2,ood_palette,palette
base-direct,lora-direct,improved,ood_shape_000008_q01,images/ood_shape/ood_shape_000008.png,"Which object is closer to the center of the image, the red hexagon or the yellow diamond?",red hexagon,yellow diamond,red hexagon,center_proximity,2,ood_shape,shape
base-direct,lora-direct,improved,ood_shape_000017_q01,images/ood_shape/ood_shape_000017.png,"Which object is closer to the center of the image, the blue hexagon or the red hexagon?",red hexagon,blue hexagon,red hexagon,center_proximity,2,ood_shape,shape
base-direct,lora-direct,improved,ood_shape_000031_q02,images/ood_shape/ood_shape_000031.png,"Which object is closer to the center of the image, the blue star or the yellow diamond?",yellow diamond,blue star,yellow diamond,center_proximity,2,ood_shape,shape
base-direct,lora-direct,improved,test_000034_q01,images/test/test_000034.png,"Which object is closer to the center of the image, the blue triangle or the green circle?",green circle,blue triangle,green circle,center_proximity,2,test,ID
base-direct,lora-direct,improved,test_000065_q02,images/test/test_000065.png,"Which object is closer to the center of the image, the blue triangle or the red rectangle?",red rectangle,blue triangle,red rectangle,center_proximity,2,test,ID
base-direct,lora-direct,improved,test_000099_q02,images/test/test_000099.png,"Which object is closer to the center of the image, the green rectangle or the blue triangle?",blue triangle,green rectangle,blue triangle,center_proximity,2,test,ID
base-direct,lora-fewshot,improved,ood_background_000013_q04,images/ood_background/ood_background_000013.png,Which object is immediately below the red triangle?,red circle,circle,red circle,above_below,2,ood_background,background
base-direct,lora-fewshot,improved,ood_count_000011_q01,images/ood_count/ood_count_000011.png,Which object is immediately above the red rectangle?,blue triangle,triangle,blue triangle,above_below,2,ood_count,count
base-direct,lora-fewshot,improved,ood_occlusion_000000_q04,images/ood_occlusion/ood_occlusion_000000.png,Which object is immediately below the red circle?,green triangle,triangle,green triangle,above_below,2,ood_occlusion,occlusion
base-direct,lora-fewshot,improved,ood_occlusion_000016_q04,images/ood_occlusion/ood_occlusion_000016.png,Which object is immediately above the yellow triangle?,red circle,yellow circle,red circle,above_below,2,ood_occlusion,occlusion
base-direct,lora-fewshot,improved,ood_occlusion_000038_q02,images/ood_occlusion/ood_occlusion_000038.png,Which object is immediately below the blue circle?,green triangle,square,green triangle,above_below,2,ood_occlusion,occlusion
base-direct,lora-fewshot,improved,ood_occlusion_000047_q03,images/ood_occlusion/ood_occlusion_000047.png,Which object is immediately below the green rectangle?,blue triangle,triangle,blue triangle,above_below,2,ood_occlusion,occlusion
base-direct,lora-fewshot,improved,ood_palette_000015_q03,images/ood_palette/ood_palette_000015.png,Which object is immediately above the cyan rectangle?,purple circle,purple rectangle,purple circle,above_below,2,ood_palette,palette
base-direct,lora-fewshot,improved,ood_palette_000024_q02,images/ood_palette/ood_palette_000024.png,Which object is immediately above the orange triangle?,purple rectangle,circle,purple rectangle,above_below,2,ood_palette,palette
base-direct,lora-fewshot,improved,test_000032_q02,images/test/test_000032.png,Which object is immediately above the red triangle?,green triangle,circle,green triangle,above_below,2,test,ID
base-direct,lora-fewshot,improved,test_000043_q04,images/test/test_000043.png,Which object is immediately above the blue rectangle?,red triangle,green rectangle,red triangle,above_below,2,test,ID
base-direct,lora-fewshot,improved,test_000052_q04,images/test/test_000052.png,Which object is immediately above the green circle?,blue triangle,triangle,blue triangle,above_below,2,test,ID
base-direct,lora-fewshot,improved,test_000070_q04,images/test/test_000070.png,Which object is immediately below the blue triangle?,red rectangle,green circle,red rectangle,above_below,2,test,ID
base-direct,lora-fewshot,improved,test_000084_q04,images/test/test_000084.png,Which object is immediately above the red triangle?,red rectangle,square,red rectangle,above_below,2,test,ID
base-direct,lora-fewshot,improved,test_000093_q04,images/test/test_000093.png,Which object is immediately below the green rectangle?,red circle,triangle,red circle,above_below,2,test,ID
base-direct,lora-fewshot,improved,ood_count_000037_q03,images/ood_count/ood_count_000037.png,Which object is between the yellow triangle and the red rectangle?,red circle,blue triangle,red circle,between,3,ood_count,count
base-direct,lora-fewshot,improved,ood_occlusion_000019_q01,images/ood_occlusion/ood_occlusion_000019.png,Which object is between the green circle and the yellow triangle?,green triangle,white triangle,green triangle,between,3,ood_occlusion,occlusion
base-direct,lora-fewshot,improved,ood_occlusion_000042_q01,images/ood_occlusion/ood_occlusion_000042.png,Which object is between the yellow rectangle and the green rectangle?,red triangle,triangle,red triangle,between,3,ood_occlusion,occlusion
base-direct,lora-fewshot,improved,ood_occlusion_000046_q01,images/ood_occlusion/ood_occlusion_000046.png,Which object is between the red rectangle and the yellow triangle?,red circle,circle,red circle,between,3,ood_occlusion,occlusion
base-direct,lora-fewshot,improved,ood_palette_000019_q03,images/ood_palette/ood_palette_000019.png,Which object is between the pink rectangle and the orange circle?,purple rectangle,orange rectangle,purple rectangle,between,3,ood_palette,palette
base-direct,lora-fewshot,improved,test_000001_q03,images/test/test_000001.png,Which object is between the green triangle and the blue circle?,blue rectangle,square,blue rectangle,between,3,test,ID
base-direct,lora-fewshot,improved,test_000042_q04,images/test/test_000042.png,Which object is between the yellow rectangle and the green triangle?,green rectangle,square,green rectangle,between,3,test,ID
base-direct,lora-fewshot,improved,test_000055_q01,images/test/test_000055.png,Which object is between the blue rectangle and the red rectangle?,red circle,green rectangle,red circle,between,3,test,ID
base-direct,lora-fewshot,improved,test_000057_q01,images/test/test_000057.png,Which object is between the red circle and the yellow triangle?,red rectangle,square,red rectangle,between,3,test,ID
base-direct,lora-fewshot,improved,test_000064_q01,images/test/test_000064.png,Which object is between the red circle and the red rectangle?,blue rectangle,blue circle,blue rectangle,between,3,test,ID
base-direct,lora-fewshot,improved,test_000085_q02,images/test/test_000085.png,Which object is between the green rectangle and the green triangle?,red triangle,square,red triangle,between,3,test,ID
base-direct,lora-fewshot,improved,test_000094_q02,images/test/test_000094.png,Which object is between the yellow triangle and the green circle?,yellow rectangle,square,yellow rectangle,between,3,test,ID
base-direct,lora-fewshot,improved,ood_background_000001_q04,images/ood_background/ood_background_000001.png,"Which object is closer to the center of the image, the green rectangle or the green circle?",green rectangle,green circle,green rectangle,center_proximity,2,ood_background,background
base-direct,lora-fewshot,improved,ood_background_000007_q01,images/ood_background/ood_background_000007.png,"Which object is closer to the center of the image, the yellow triangle or the yellow circle?",yellow triangle,yellow circle,yellow triangle,center_proximity,2,ood_background,background
base-direct,lora-fewshot,improved,ood_background_000034_q01,images/ood_background/ood_background_000034.png,"Which object is closer to the center of the image, the green rectangle or the yellow circle?",yellow circle,green rectangle,yellow circle,center_proximity,2,ood_background,background
base-direct,lora-fewshot,improved,ood_background_000038_q04,images/ood_background/ood_background_000038.png,"Which object is closer to the center of the image, the green triangle or the green circle?",green triangle,green circle,green triangle,center_proximity,2,ood_background,background
base-direct,lora-fewshot,improved,ood_count_000024_q03,images/ood_count/ood_count_000024.png,"Which object is closer to the center of the image, the green triangle or the red circle?",red circle,green triangle,red circle,center_proximity,2,ood_count,count
base-direct,lora-fewshot,improved,ood_count_000036_q04,images/ood_count/ood_count_000036.png,"Which object is closer to the center of the image, the yellow circle or the yellow triangle?",yellow triangle,yellow circle,yellow triangle,center_proximity,2,ood_count,count
base-direct,lora-fewshot,improved,ood_count_000049_q02,images/ood_count/ood_count_000049.png,"Which object is closer to the center of the image, the yellow circle or the red triangle?",red triangle,yellow circle,red triangle,center_proximity,2,ood_count,count
base-direct,lora-fewshot,improved,ood_occlusion_000027_q02,images/ood_occlusion/ood_occlusion_000027.png,"Which object is closer to the center of the image, the blue rectangle or the red rectangle?",red rectangle,blue rectangle,red rectangle,center_proximity,2,ood_occlusion,occlusion
base-direct,lora-fewshot,improved,ood_palette_000002_q03,images/ood_palette/ood_palette_000002.png,"Which object is closer to the center of the image, the orange rectangle or the pink circle?",orange rectangle,pink circle,orange rectangle,center_proximity,2,ood_palette,palette
base-direct,lora-fewshot,improved,ood_palette_000026_q04,images/ood_palette/ood_palette_000026.png,"Which object is closer to the center of the image, the orange circle or the orange triangle?",orange triangle,orange circle,orange triangle,center_proximity,2,ood_palette,palette
base-direct,lora-fewshot,improved,ood_palette_000030_q01,images/ood_palette/ood_palette_000030.png,"Which object is closer to the center of the image, the orange rectangle or the cyan rectangle?",cyan rectangle,orange rectangle,cyan rectangle,center_proximity,2,ood_palette,palette
base-direct,lora-fewshot,improved,ood_palette_000045_q04,images/ood_palette/ood_palette_000045.png,"Which object is closer to the center of the image, the cyan rectangle or the pink triangle?",pink triangle,cyan rectangle,pink triangle,center_proximity,2,ood_palette,palette
base-direct,lora-fewshot,improved,ood_palette_000049_q02,images/ood_palette/ood_palette_000049.png,"Which object is closer to the center of the image, the orange triangle or the pink triangle?",pink triangle,orange triangle,pink triangle,center_proximity,2,ood_palette,palette
base-direct,lora-fewshot,improved,ood_shape_000004_q01,images/ood_shape/ood_shape_000004.png,"Which object is closer to the center of the image, the red hexagon or the yellow diamond?",red hexagon,yellow diamond,red hexagon,center_proximity,2,ood_shape,shape
base-direct,lora-fewshot,improved,ood_shape_000008_q01,images/ood_shape/ood_shape_000008.png,"Which object is closer to the center of the image, the red hexagon or the yellow diamond?",red hexagon,yellow diamond,red hexagon,center_proximity,2,ood_shape,shape
base-direct,lora-fewshot,improved,ood_shape_000017_q01,images/ood_shape/ood_shape_000017.png,"Which object is closer to the center of the image, the blue hexagon or the red hexagon?",red hexagon,blue hexagon,red hexagon,center_proximity,2,ood_shape,shape
base-direct,lora-fewshot,improved,ood_shape_000036_q01,images/ood_shape/ood_shape_000036.png,"Which object is closer to the center of the image, the blue diamond or the red hexagon?",red hexagon,blue diamond,red hexagon,center_proximity,2,ood_shape,shape
base-direct,lora-fewshot,improved,test_000034_q01,images/test/test_000034.png,"Which object is closer to the center of the image, the blue triangle or the green circle?",green circle,blue triangle,green circle,center_proximity,2,test,ID
base-direct,lora-fewshot,improved,test_000065_q02,images/test/test_000065.png,"Which object is closer to the center of the image, the blue triangle or the red rectangle?",red rectangle,blue triangle,red rectangle,center_proximity,2,test,ID
base-direct,lora-fewshot,improved,test_000099_q02,images/test/test_000099.png,"Which object is closer to the center of the image, the green rectangle or the blue triangle?",blue triangle,green rectangle,blue triangle,center_proximity,2,test,ID
base-direct,lora-fewshot,improved,ood_background_000003_q04,images/ood_background/ood_background_000003.png,How many circle objects are in the image?,3,2,3,counting,1,ood_background,background
base-direct,lora-fewshot,improved,ood_background_000027_q02,images/ood_background/ood_background_000027.png,How many objects are left of the blue rectangle?,0,1,0,counting,2,ood_background,background
